Region1,Region2,Median_Correlation_CN,Median_Correlation_MCI
1,1,Inf,Inf
1,2,0.745091029776813,0.850384340342579
1,3,1.11946980658535,1.1672234357467
1,4,0.777753218503126,0.85448073773948
1,5,0.925025839789298,0.963327900359472
1,6,0.899008983441889,0.894748421977774
1,7,0.856311556557549,0.910997646144365
1,8,0.994617070990831,1.01099848604961
1,9,0.530226561119049,0.586363037582271
1,10,0.897670634065435,0.901142241250028
1,11,0.688791960150013,0.718569619498665
1,12,0.807984247467546,0.816376564307317
1,13,0.290476971475719,0.489453267446122
1,14,0.25630303916008,0.330804866097962
1,15,0.261588888199132,0.373128711053432
1,16,0.321075380825232,0.405434554656522
1,17,0.378180583509565,0.401419296152167
1,18,0.207245611003219,0.34827020948004
1,19,0.429609314920697,0.460237756037898
1,20,0.351087632495396,0.359144386300782
1,21,0.382441594468149,0.407260896988234
1,22,0.438475480687822,0.519503059699276
1,23,0.362490035579661,0.370564232774492
1,24,0.369200899840867,0.488457070388376
1,25,0.478768652176041,0.434042779455455
1,26,0.431426678543028,0.483572288519589
1,27,0.322783267010121,0.374285395944511
1,28,0.329120268921307,0.51855263794782
1,29,0.842509515646151,0.939781899238587
1,30,1.15034912015175,1.1346396172316
1,31,0.796498193267625,0.857121388266728
1,32,0.616366687778519,0.665211510213734
1,33,0.638775696403973,0.616081522000629
1,34,0.608916208623937,0.505055171274155
1,35,0.339394838061488,0.406093008515509
1,36,0.334573141025579,0.45154161960836
1,37,0.421948913656899,0.349784168072278
1,38,0.463200530684084,0.40010511090407
1,39,0.324026694485805,0.459982384489723
1,40,0.331977834617896,0.442597655115251
1,41,0.315185412722214,0.341554043235059
1,42,0.267668623450099,0.266769191011449
1,43,0.32829292156405,0.349319520127324
1,44,0.475380535866479,0.507683656977087
1,45,0.349792774737778,0.407804133950812
1,46,0.370553469937072,0.45321844675513
1,47,0.374606207554521,0.443804158647214
1,48,0.254937844947833,0.32423544318359
1,49,0.199562721377944,0.263889572722463
1,50,0.201035559324143,0.274396497344948
1,51,0.343431995343708,0.320795976715094
1,52,0.224039773669392,0.272850010457332
1,53,0.26882570159836,0.275350469266813
1,54,0.33731111626942,0.378652574752862
1,55,0.255653702586702,0.272980688755821
1,56,0.252260524241734,0.205752674446818
1,57,0.7054446248727,0.778900845368804
1,58,0.417183016238344,0.490083955387958
1,59,0.369909124026722,0.447434774276103
1,60,0.450938704143719,0.491349576242981
1,61,0.273816236206731,0.3729366463199
1,62,0.320965993549142,0.358336077883361
1,63,0.294421517269795,0.455012485588134
1,64,0.211900411892649,0.329155581429933
1,65,0.291100154444957,0.409368028197172
1,66,0.0931348008953768,0.243907168990745
1,67,0.38246185233793,0.392297596136486
1,68,0.323741357152304,0.375883475524696
1,69,0.229899629640241,0.306164819484433
1,70,0.293881456089115,0.510672099092772
1,71,0.285630609867909,0.350541679116722
1,72,0.629670462935003,0.651376780698307
1,73,0.648498091462461,0.618940821449466
1,74,0.375009139765185,0.428486520360461
1,75,0.316930788115477,0.382235989422238
1,76,0.170067305447134,0.290187192651803
1,77,0.466921938951046,0.523329845696233
1,78,0.334409078765767,0.364247581610393
1,79,0.427372212722079,0.476108943507327
1,80,0.087555445574865,0.121677373581874
1,81,0.278838770588361,0.440086582515617
1,82,0.138292904855443,0.18296561729242
1,83,0.294806041993519,0.33010618117115
1,84,0.298185456723075,0.324860065114558
1,85,0.357424722366299,0.445282964131391
1,86,0.453824853008631,0.469149942618881
1,87,0.383130337408103,0.400758278275998
